"Freq [GHz]","dB(St(Microstrip_T1,Microstrip_T1)) []"
7.85,-8.38375029093817
7.86,-8.37421621185082
7.87,-8.3633634155329
7.88,-8.35256022221152
7.89,-8.34271151542846
7.9,-8.33437657318534
7.91,-8.32787168293991
7.92,-8.32334908341971
7.93,-8.32085389173319
7.94,-8.32036362872086
7.95,-8.32181500142216
7.96,-8.32512173271767
7.97,-8.33018625028781
7.98,-8.33690722515817
7.99,-8.345184332125
8,-8.35492116435201
8.01,-8.36602693019983
8.02,-8.3784173533638
8.03,-8.39201505778598
8.04,-8.40674962503837
8.05,-8.42255744899905
8.06,-8.43938147049228
8.07,-8.45717084629668
8.08,-8.47588058796297
8.09,-8.49547119316577
8.1,-8.51590828379614
8.11,-8.53716225931366
8.12,-8.55920797009902
8.13,-8.58202441306097
8.14,-8.60559445013524
8.15,-8.62990454928616
8.16,-8.6549445469899
8.17,-8.68070743081024
8.18,-8.70718914048646
8.19,-8.73438838587413
8.2,-8.76230648007476
8.21,-8.7909471861297
8.22,-8.82031657571844
8.23,-8.85042289837978
8.24,-8.8812764598566
8.25,-8.91288950824644
8.26,-8.94527612671688
8.27,-8.97845213161522
8.28,-9.01243497486398
8.29,-9.04724364958831
8.3,-9.08289859796609
8.31,-9.11942162032912
8.32,-9.15683578457157
8.33,-9.195165334943
8.34,-9.23443559931552
8.35,-9.27467289402099
8.36,-9.3159044253518
8.37,-9.3581581868122
8.38,-9.401462851192
8.39,-9.44584765651562
8.4,-9.4913422848942
8.41,-9.53797673327815
8.42,-9.58578117507377
8.43,-9.63478581154865
8.44,-9.68502071190895
8.45,-9.73651564088752
8.46,-9.78929987263511
8.47,-9.84340198966043
8.48,-9.89884966551793
8.49,-9.95566942989749
8.5,-10.0138864147295
8.51,-10.0735240798844
8.52,-10.134603917018
8.53,-10.1971451301031
8.54,-10.2611642911857
8.55,-10.3266749699303
8.56,-10.3936873355653
8.57,-10.4622077299227
8.58,-10.5322382103886
8.59,-10.6037760617519
8.6,-10.6768132761738
8.61,-10.7513360008031
8.62,-10.8273239529536
8.63,-10.9047498032533
8.64,-10.9835785277791
8.65,-11.0637667309423
8.66,-11.1452619417816
8.67,-11.2280018873988
8.68,-11.3119137485343
8.69,-11.3969134037548
8.7,-11.4829046704265
8.71,-11.5697785525771
8.72,-11.6574125079189
8.73,-11.7456697486941
8.74,-11.8343985935971
8.75,-11.9234318907777
8.76,-12.0125865347679
8.77,-12.1016631030122
8.78,-12.190445640386
8.79,-12.278701622497
8.8,-12.3661821304752
8.81,-12.4526222711387
8.82,-12.5377418765862
8.83,-12.6212465161336
8.84,-12.7028288507632
8.85,-12.782170355609
8.86,-12.8589434292006
8.87,-12.9328138990725
8.88,-13.0034439218563
8.89,-13.0704952622211
8.9,-13.1336329193215
8.91,-13.1925290522806
8.92,-13.2468671384479
8.93,-13.296346280722
8.94,-13.3406855642715
8.95,-13.3796283498169
8.96,-13.4129463814988
8.97,-13.4404435834106
8.98,-13.461959420985
8.99,-13.4773717120733
9,-13.4865987877478
9.01,-13.4896009240213
9.02,-13.4863809917536
9.03,-13.4769843014396
9.04,-13.461497650499
9.05,-13.4400476110883
9.06,-13.412798124382
9.07,-13.379947490992
9.08,-13.3417248654076
9.09,-13.2983863742155
9.1,-13.2502109831494
9.11,-13.197496236957
9.12,-13.1405539893764
9.13,-13.0797062292015
9.14,-13.0152810937142
9.15,-12.947609143951
9.16,-12.8770199585859
9.17,-12.8038390857331
9.18,-12.7283853755696
9.19,-12.6509687020091
9.2,-12.5718880691212
9.21,-12.4914300878
9.22,-12.40986780034
9.23,-12.3274598249849
9.24,-12.2444497889374
9.25,-12.161066016487
9.26,-12.0775214385361
9.27,-11.9940136905607
9.28,-11.9107253676655
9.29,-11.8278244076066
9.3,-11.7454645752623
9.31,-11.663786024826
9.32,-11.5829159188556
9.33,-11.5029690861107
9.34,-11.4240487027759
9.35,-11.3462469841523
9.36,-11.2696458761527
9.37,-11.1943177379688
9.38,-11.1203260090601
9.39,-11.0477258551739
9.4,-10.9765647894391
9.41,-10.906883265711
9.42,-10.8387152422923
9.43,-10.7720887149406
9.44,-10.7070262187124
9.45,-10.6435452987051
9.46,-10.5816589501672
9.47,-10.5213760287539
9.48,-10.462701631947
9.49,-10.4056374528205
9.5,-10.3501821074563
9.51,-10.2963314373819
9.52,-10.2440787884419
9.53,-10.1934152675237
9.54,-10.1443299785446
9.55,-10.096810239077
9.56,-10.0508417789481
9.57,-10.0064089220959
9.58,-9.963494752906
9.59,-9.92208126819279
9.6,-9.88214951592199
9.61,-9.8436797217068
9.62,-9.80665140404507
9.63,-9.77104347920116
9.64,-9.73683435657265
9.65,-9.70400202532489
9.66,-9.67252413301633
9.67,-9.64237805688575
9.68,-9.6135409684202
9.69,-9.58598989177396
9.7,-9.55970175656481
9.71,-9.53465344553024
9.72,-9.5108218374887
9.73,-9.48818384601259
9.74,-9.46671645418761
9.75,-9.44639674580043
9.76,-9.42720193326889
9.77,-9.40910938260146
9.78,-9.39209663564857
9.79,-9.37614142988613
9.8,-9.36122171594992
9.81,-9.34731567312215
9.82,-9.33440172295225
9.83,-9.32245854117948
9.84,-9.31146506810978
9.85,-9.30140051758549
9.86,-9.29224438467567
9.87,-9.28397645220213
9.88,-9.27657679620742
9.89,-9.27002579046026
