"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
3.76,0,-56,0.238907017918042
3.76,0,-55,0.255504101668867
3.76,0,-54,0.272862756383706
3.76,0,-53,0.290997042505304
3.76,0,-52,0.309919646660593
3.76,0,-51,0.329641727013157
3.76,0,-50,0.350172757514293
3.76,0,-49,0.371520371916071
3.76,0,-48,0.393690208477528
3.76,0,-47,0.416685756359882
3.76,0,-46,0.440508204767254
3.76,0,-45,0.465156295944889
3.76,0,-44,0.4906261831961
3.76,0,-43,0.516911295120819
3.76,0,-42,0.544002207311686
3.76,0,-41,0.571886522766608
3.76,0,-40,0.600548762288644
3.76,0,-39,0.629970266143573
3.76,0,-38,0.660129108231759
3.76,0,-37,0.691000024002742
3.76,0,-36,0.722554353297799
3.76,0,-35,0.754759999246743
3.76,0,-34,0.787581404270352
3.76,0,-33,0.820979544148677
3.76,0,-32,0.854911941008415
3.76,0,-31,0.889332695960032
3.76,0,-30,0.924192541977987
3.76,0,-29,0.959438917466605
3.76,0,-28,0.995016060791022
3.76,0,-27,1.03086512587905
3.76,0,-26,1.06692431881767
3.76,0,-25,1.10312905517951
3.76,0,-24,1.13941213762208
3.76,0,-23,1.17570395310934
3.76,0,-22,1.21193268891256
3.76,0,-21,1.24802456635978
3.76,0,-20,1.283904091122
3.76,0,-19,1.31949431865311
3.76,0,-18,1.35471713324164
3.76,0,-17,1.38949353898841
3.76,0,-16,1.42374396089722
3.76,0,-15,1.45738855415797
3.76,0,-14,1.49034751961433
3.76,0,-13,1.52254142334346
3.76,0,-12,1.55389151823294
3.76,0,-11,1.58432006542224
3.76,0,-10,1.61375065348134
3.76,0,-9,1.6421085132282
3.76,0,-8,1.66932082613883
3.76,0,-7,1.69531702437751
3.76,0,-6,1.72002908056897
3.76,0,-5,1.74339178554736
3.76,0,-4,1.76534301244651
3.76,0,-3,1.78582396564037
3.76,0,-2,1.80477941319824
3.76,0,-1,1.82215790168545
3.76,0,0,1.83791195231191
3.76,0,1,1.85199823760728
