"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
4.9,90,-141,1.59540007487089
4.9,90,-140,1.55117570269459
4.9,90,-139,1.50669190290808
4.9,90,-138,1.4619930031959
4.9,90,-137,1.4171232883814
4.9,90,-136,1.37212700770982
4.9,90,-135,1.32704838265482
4.9,90,-134,1.28193161466597
4.9,90,-133,1.23682089229531
4.9,90,-132,1.19176039716555
4.9,90,-131,1.1467943082725
4.9,90,-130,1.10196680414798
4.9,90,-129,1.05732206244619
4.9,90,-128,1.01290425655728
4.9,90,-127,0.968757548893931
4.9,90,-126,0.924926080542222
4.9,90,-125,0.881453957014562
4.9,90,-124,0.838385229890667
4.9,90,-123,0.795763874181995
4.9,90,-122,0.753633761305437
4.9,90,-121,0.712038627602393
4.9,90,-120,0.671022038390656
4.9,90,-119,0.630627347586877
4.9,90,-118,0.590897652987512
4.9,90,-117,0.551875747345328
4.9,90,-116,0.513604065425797
4.9,90,-115,0.47612462727358
4.9,90,-114,0.43947897796237
4.9,90,-113,0.403708124141593
4.9,90,-112,0.368852467730453
4.9,90,-111,0.334951737142791
4.9,90,-110,0.302044916454982
4.9,90,-109,0.270170172953435
4.9,90,-108,0.239364783517188
4.9,90,-107,0.209665060305676
4.9,90,-106,0.181106276230091
4.9,90,-105,0.153722590690724
4.9,90,-104,0.127546976060627
4.9,90,-103,0.102611145389417
4.9,90,-102,0.0789454817889421
4.9,90,-101,0.0565789699466961
4.9,90,-100,0.0355391301919975
4.9,90,-99,0.0158519555161194
4.9,90,-98,-0.00245814808031055
4.9,90,-97,-0.0193684175692146
4.9,90,-96,-0.0348577848956795
4.9,90,-95,-0.0489069247210829
4.9,90,-94,-0.0614982976679538
4.9,90,-93,-0.0726161888630666
4.9,90,-92,-0.0822467416119826
4.9,90,-91,-0.0903779860763831
4.9,90,-90,-0.0969998628628076
4.9,90,-89,-0.102104241469106
4.9,90,-88,-0.105684933572082
4.9,90,-87,-0.107737701176445
4.9,90,-86,-0.108260259681547
4.9,90,-85,-0.107252275957923
4.9,90,-84,-0.104715361560602
4.9,90,-83,-0.100653061240265
4.9,90,-82,-0.0950708369465064
4.9,90,-81,-0.0879760475494798
4.9,90,-80,-0.0793779245369657
4.9,90,-79,-0.0692875439727103
4.9,90,-78,-0.0577177950292323
4.9,90,-77,-0.0446833454325975
4.9,90,-76,-0.0302006041786171
4.9,90,-75,-0.0142876818983484
4.9,90,-74,0.00303565073453581
4.9,90,-73,0.0217480061516087
4.9,90,-72,0.0418264241841465
4.9,90,-71,0.063246417095013
4.9,90,-70,0.0859820149437292
4.9,90,-69,0.11000581089111
4.9,90,-68,0.135289006066195
4.9,90,-67,0.161801453640557
4.9,90,-66,0.189511701782817
4.9,90,-65,0.218387035199774
4.9,90,-64,0.248393515008541
4.9,90,-63,0.279496016727175
4.9,90,-62,0.311658266217514
4.9,90,-61,0.344842873463602
4.9,90,-60,0.379011364120632
4.9,90,-59,0.414124208822118
4.9,90,-58,0.450140850286135
4.9,90,-57,0.48701972831371
4.9,90,-56,0.52471830282324
